"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 09:20:59 MSK 2024","Wed May 08 09:20:59 MSK 2024","98","tests","test_create_courier","TestCreateCourier","","","Проверка, что нельзя создать курьера с пустыми данными.","Проверка, что нельзя создать курьера с пустыми данными."
"passed","Wed May 08 09:20:58 MSK 2024","Wed May 08 09:20:58 MSK 2024","277","tests","test_create_courier","TestCreateCourier","","","Проверка успешности создания курьера","Создание шаблонного курьера, проверка статуса ответа и тела ответа"
"passed","Wed May 08 09:20:59 MSK 2024","Wed May 08 09:20:59 MSK 2024","113","tests","test_login_courier","TestLoginCourier","","","Проверка авторизации с пустыми данными","Авторизация с пустыми данными"
"passed","Wed May 08 09:21:00 MSK 2024","Wed May 08 09:21:21 MSK 2024","20649","tests","test_order","TestOrder","","","Проверка получения списка товаров",""
"passed","Wed May 08 09:20:58 MSK 2024","Wed May 08 09:20:59 MSK 2024","244","tests","test_create_courier","TestCreateCourier","","","Проверка невозможности создать двух одинаковых курьеров","Запоминаем креды. Создаем курьера и пытаемся создать курьера с такими же кредами."
"passed","Wed May 08 09:21:00 MSK 2024","Wed May 08 09:21:00 MSK 2024","139","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Wed May 08 09:20:59 MSK 2024","Wed May 08 09:21:00 MSK 2024","117","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Wed May 08 09:21:00 MSK 2024","Wed May 08 09:21:00 MSK 2024","120","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Wed May 08 09:21:00 MSK 2024","Wed May 08 09:21:00 MSK 2024","120","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Wed May 08 09:20:59 MSK 2024","Wed May 08 09:20:59 MSK 2024","87","tests","test_login_courier","TestLoginCourier","","","Проверка авторизации c несуществующим пользователем","Авторизации c несуществующим пользователем, запрос возвращает ошибку"
"passed","Wed May 08 09:20:59 MSK 2024","Wed May 08 09:20:59 MSK 2024","433","tests","test_login_courier","TestLoginCourier","","","Проверка успешной авторизации","Создание шаблонного курьера, проверка статуса ответа. Авторизация, удаление."
